date,Low transformation,Low preparation,Low advocacy
2016-10-31,0.5487913522072507,0.5406679594080306,0.1614316057451222
2016-11-30,0.6464452874205563,0.6163190020762735,0.1534217614383126
2016-12-30,0.629146129078476,0.5940042553359131,0.12225713980564254
2017-01-31,0.6355641684823455,0.6269542708193888,0.14519328435876275
2017-02-28,0.6014631771805141,0.610264367927274,0.12107502459896563
2017-03-31,0.6073485484898864,0.606245646483171,0.15344318233025578
2017-04-28,0.598494529721115,0.5691207276583843,0.13911971133158835
2017-05-31,0.7430118991975374,0.7333149295459664,0.10136281044393126
2017-06-30,0.73418436367135,0.6969469396384407,0.14387125295527298
2017-07-31,0.6995122374994898,0.7175170109581961,0.17527448343622837
2017-08-31,0.7001823311224175,0.6991815369881589,0.19223679801995738
2017-09-29,0.6817647909711757,0.6742611412988303,0.1880557497867355
2017-10-31,0.6941704191968923,0.666689925618243,0.1803954605585544
2017-11-30,0.6726484630001616,0.6987671314102246,0.194974045092215
2017-12-29,0.6608301565343875,0.6752351137885183,0.20202672560918014
2018-01-31,0.6186249595568947,0.6894918069158329,0.166597350534756
2018-02-28,0.6200080306505551,0.6500101779381458,0.16121183595584224
2018-03-29,0.6265813675439107,0.6527375166021451,0.18703526871514603
2018-04-30,0.6226402329876092,0.6264123151284438,0.20728815640819256
2018-05-31,0.5646419732287179,0.5448081729900671,0.17584903907392724
2018-06-29,0.5686054211722478,0.5405810045995223,0.17420945734570983
2018-07-31,0.5318751046902563,0.44790501289025947,0.15633176400782398
2018-08-31,0.5506638836847269,0.46280592905356893,0.1497518187654567
2018-09-28,0.5566498862368754,0.45231162225053767,0.1664594533413178
2018-10-31,0.5314529986261406,0.2945315886963348,0.15780826433618356
2018-11-30,0.4952599006378746,0.34091167865644934,0.1972199012794041
2018-12-31,0.4652297196325301,0.3000278325167628,0.28296733840869515
2019-01-31,0.44809907113467456,0.3113955219514414,0.3421748135676197
2019-02-28,0.4401231221291273,0.2784692775536709,0.36403172606345346
2019-03-29,0.4129861540017066,0.26983800769806654,0.3633420204492537
2019-04-30,0.3978324043553932,0.23249812428359307,0.3637199833674581
2019-05-31,0.37684727288357667,0.25959225467651803,0.40211932911005965
2019-06-28,0.40419666382756436,0.23844161503278383,0.4150763742500104
2019-07-31,0.3966342277205423,0.24997403160275466,0.37506945032639827
2019-08-30,0.328436343337407,0.28287077874795863,0.3903246720506567
2019-09-30,0.3291797663111836,0.2558773977572877,0.3941124042478329
2019-10-31,0.27409689946191523,0.2219786525292745,0.3551731744810644
2019-11-29,0.25558771504571176,0.2123314200799824,0.3211546353501271
2019-12-31,0.21536251991424965,0.21510278916166692,0.3509177500494889
2020-01-31,0.19255605622768723,0.21446864995912407,0.33270557099318276
2020-02-28,0.10766805833137416,0.18839154124678992,0.27382391666647377
2020-03-31,0.023737299179257043,0.13024732295568764,0.32018082422896266
2020-04-30,0.02125817261250018,0.09416313036045365,0.36244785645584343
2020-05-29,0.007192602344933796,0.06646334420464761,0.3480321119906591
2020-06-30,-0.023574646762801743,0.04650110207618097,0.35855993881269144
2020-07-31,-0.016513613580307118,0.039524546079888756,0.33798198270487634
2020-08-31,-0.02044277793368232,0.06138531118231261,0.35592711974222735
2020-09-30,0.011121333388398158,0.13146872131136578,0.40476671752512183
2020-10-30,0.011113397651614787,0.2269207526396294,0.4200602416893334
2020-11-30,0.03673079494762033,0.1985939794912831,0.3868506402288091
2020-12-31,0.011241508588093696,0.18895070617811505,0.3309513233226825
2021-01-29,0.0038362888492696756,0.12936479077518814,0.3050745549473408
2021-02-26,-0.04334741113512269,0.14612304985069902,0.28429064681042143
2021-03-31,-0.028641465155580637,0.16191644720298964,0.31689092057487644
2021-04-30,-0.009208994374186208,0.19921165036215693,0.3018948476366131
2021-05-28,0.021271586778491836,0.18607585631091336,0.2827693432090376
2021-06-30,-0.04665343053684609,0.12248802713242929,0.2703117899014449
2021-07-30,-0.12912456927770885,0.07260861585144934,0.22848618148687994
2021-08-31,-0.12269478571926942,0.08508095396851562,0.2633818013357045
2021-09-30,-0.15320858813294827,0.07623462480274257,0.20680317426053152
2021-10-29,-0.17161804611758585,0.07990917376667851,0.17853055476335386
2021-11-30,-0.15922751281940922,0.08539394338296138,0.14995691498254932
2021-12-31,-0.15153844198413363,0.11275637515257321,0.20727432594631484
2022-01-31,-0.19711427703477277,0.03414533189430327,0.1303178034131759
2022-02-28,-0.06387942323367807,0.2132284255630599,0.18155841418638757
2022-03-31,-0.08472163424319812,0.13060926937231088,0.13456701574801105
2022-04-29,-0.05486876431695553,0.11532661828904878,0.11926902509087
2022-05-31,-0.025764273929114734,0.07169555084482254,0.08504233291278085
2022-06-30,-0.0330196242664455,0.13276971452726993,-0.03776684317594278
2022-07-29,-0.005796629024996225,0.1557429301680154,0.004525950387361644
2022-08-31,-0.03443292006553546,0.12888300193725996,0.06035509212577689
2022-09-30,0.0032263159384253864,0.11239300894227511,0.023609997087160786
2022-10-31,-0.060938835585146484,0.06927668830518577,0.023598063936992986
2022-11-30,-0.02977769670019728,0.06685347140909242,0.010864199382676243
2022-12-30,-0.026316803220145735,0.03293490261135723,0.01952669919240191
2023-01-31,0.013757147423332144,0.0784423992829866,0.04249961761811863
2023-02-28,0.05932101665005261,0.10420983124626636,0.07144513913624678
2023-03-31,0.04984973026396981,0.10465654639724259,0.08161995878862402
2023-04-28,0.024007708554031046,0.09298146853110295,0.0598413445320414
2023-05-31,0.006759307312378393,0.04766198554196453,0.050512483576462125
2023-06-30,0.07898683450315003,0.06311287398920795,0.13937168326588517
2023-07-31,0.027016259779186813,-0.0009646385407713065,0.029594170136737957
2023-08-31,0.08866814388206459,-0.012967171995225624,0.05598768552470468
2023-09-29,0.03795347767716245,-0.05482095064005413,0.055017555379246214
2023-10-31,0.10793721308937437,-0.015694248651356324,0.04300320581976058
2023-11-30,0.1000576779835829,-0.043283833821279094,0.037726649987391
2023-12-29,0.11794310701398025,0.04164900751096959,0.05785626839184957
2024-01-31,0.03911232550993943,-0.07046971079604233,-0.044426180463545406
2024-02-29,0.0570842478220453,-0.15119551100568612,-0.053120950469115774
2024-03-28,0.08371607852891522,-0.08433613758789958,-0.016390580029452623
2024-04-30,0.11473883133699697,-0.05469593779560594,0.05484609811788943
2024-05-31,0.2252965694427359,0.07751977773539853,0.14325450092560987
2024-06-28,0.253723896451546,0.08457734357792307,0.13608278174293198
2024-07-31,0.2689073962664541,0.09500933993684502,0.13592000926059716
2024-08-30,0.2963398242264656,0.061232443967446426,0.12291494958850768
2024-09-30,0.2943835095138782,0.09832664033081606,0.1445252605927731
2024-10-31,0.37476683889420287,0.15628150469019675,0.19595706621640369
2024-11-29,0.3560146254501285,0.13420442843089464,0.1702011480443616
2024-12-31,0.31370322879025836,0.10757039999236429,0.11651272112063693
