,Low advocacy,High advocacy,Low preparation,High preparation,Low transformation,High transformation
alpha,0.19,0.21,0.26,0.07,0.27,0.28
beta_mkt,1.01,1.04,1.01,1.03,1.03,1.01
beta_smb,0.09,0.18,0.18,0.12,0.15,0.13
beta_hml,0.27,0.31,0.25,0.24,0.27,0.22
p-value(alpha),0.04,0.06,0.03,0.54,0.01,0.0
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.02,0.0,0.0,0.01,0.0,0.0
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.95,0.94,0.92,0.94,0.94,0.94
