,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,217.30%,290.30%
High transformation,-7.03%,-0.75%,17.09%,17.09%,24.90%,99.33%,278.66%,384.74%
High preparation,-7.12%,-1.26%,16.50%,16.50%,23.75%,76.82%,190.05%,271.45%
High advocacy,-6.48%,1.02%,15.83%,15.83%,29.58%,71.32%,231.13%,327.02%
Low advocacy,-6.77%,0.17%,19.19%,19.19%,31.81%,86.51%,236.56%,329.45%
