date,Market,High transformation,High esg_refinitive,High preparation,Low advocacy
2016-07-29,1.0002,1.0002,1.0002,1.0002,1.0002
2016-08-31,1.0047009,0.998627080727609,1.003183519143327,1.0094650176523376,0.9997771512628516
2016-09-30,1.00831782324,1.0042195340489384,0.9983970221021925,1.0180858313419143,1.0046152480070931
2016-10-31,0.9878489714282281,1.0092183150441962,0.9967378471231995,0.9839873885094137,0.9835186745798487
2016-11-30,1.0327960996282126,1.0659949724753282,1.0713779476334255,1.020751761632403,1.0417906951506242
2016-12-30,1.0513864294215205,1.081444173190199,1.0915451800238452,1.039896998326135,1.0617495860252812
2017-01-31,1.0742015149399675,1.107213202819681,1.1173956757783474,1.0607100987717182,1.075178090860735
2017-02-28,1.1094353246299984,1.1431722957668025,1.1509607294200088,1.1060070419586538,1.1102241756775981
2017-03-31,1.1120979694091104,1.167924988665442,1.1645718510814866,1.1163622753964613,1.1197987150126785
2017-04-28,1.1219956413368515,1.185856724334721,1.1661872253723482,1.1168120200191358,1.1307343454719896
2017-05-31,1.1331033981860863,1.2030569437496417,1.1850382075689168,1.1528375650159557,1.142054469798043
2017-06-30,1.14500098386704,1.2100791606468255,1.1967020113722906,1.1598001309149806,1.148171171394144
2017-07-31,1.1683590039379277,1.231446586330857,1.2492825235971616,1.183660833351313,1.1746371928536299
2017-08-31,1.1701115424438344,1.2413381243968091,1.2642063645205301,1.1924431324473297,1.180737935550553
2017-09-29,1.2001834090846408,1.278104842789769,1.2917879825283949,1.228063420889127,1.2024130462345795
2017-10-31,1.2250272056526927,1.3154947563031678,1.3197318420227018,1.2563967298767256,1.2262947891907516
2017-11-30,1.2612880109400122,1.3765291784536011,1.36535544023607,1.295909830982316,1.2616154086828313
2017-12-29,1.2773063686789503,1.3940694485768597,1.416397109201567,1.2983565621472448,1.2758506447366948
2018-01-31,1.3455145287664063,1.4492934915052134,1.4919917325178051,1.3566991570022244,1.3377133828103969
2018-02-28,1.2938467708617762,1.3972536763948264,1.4204082157308053,1.3088801043947726,1.291442483596882
2018-03-29,1.2673229120591096,1.3841262808041015,1.3971014316836492,1.2939232815022406,1.2730258458861068
2018-04-30,1.2735327943281993,1.3999957880086007,1.3960684709921367,1.2673102889238537,1.2718210419567875
2018-05-31,1.3072814133778965,1.415610976423736,1.3919365063065574,1.275072844022295,1.2689178237651018
2018-06-29,1.3142100048687995,1.4276319865893423,1.3888322277827228,1.2623862912378645,1.281891346846983
2018-07-31,1.3571846720280092,1.5026913115526506,1.426652042599504,1.312404343195698,1.3387593727674718
2018-08-31,1.4012931738689194,1.5084687235888818,1.442211453624704,1.3403289340034847,1.3490040155290712
2018-09-28,1.404235889534044,1.520638065431955,1.4593540166742904,1.3460235359935908,1.3620689537950943
2018-10-31,1.29723311475155,1.409303098289825,1.3369616334789176,1.2183219224231345,1.2647073497269556
2018-11-30,1.320583310817078,1.4775248639908594,1.3647100233124057,1.243571330011423,1.3137626343210265
2018-12-31,1.1973728879178447,1.325505381683499,1.2375793781555475,1.1329259296175038,1.1877834532842968
2019-01-31,1.302741702054615,1.4586779770606262,1.3486667869802285,1.243620168020919,1.3067261777088306
2019-02-28,1.349249580817965,1.516142361542206,1.4227753275757598,1.2920389726646009,1.3682178652211392
2019-03-29,1.36463102603929,1.513073071766075,1.4475460515068839,1.3073498361901583,1.3725020166784967
2019-04-30,1.4207173612095048,1.554564540377505,1.460908474338374,1.348768183212764,1.39974308946698
2019-05-31,1.3268079436335565,1.4577251697729483,1.331414714306729,1.2253773807348571,1.323194472833391
2019-06-28,1.4219400731920826,1.5793614260828719,1.4519922218258707,1.3278217300461104,1.4241729485655181
2019-07-31,1.4398565181143028,1.6066621521512396,1.47152456796005,1.3466186288261508,1.453535331914759
2019-08-30,1.406451846894051,1.5922682671385355,1.4329359276184812,1.3253240200520446,1.4221278252930598
2019-09-30,1.43036152829125,1.6442925121239411,1.4762065996252995,1.3642556523506684,1.4825444493062538
2019-10-31,1.4586826865514169,1.6681980926864397,1.470697139123649,1.3777988305564577,1.4970405374554399
2019-11-29,1.5158630478642325,1.7240728415473519,1.5412776953076897,1.4249233815224216,1.5392537564044229
2019-12-31,1.5602778351666546,1.7750414636740586,1.5837126839623823,1.4840011421946464,1.601892033567486
2020-01-31,1.5570012517128047,1.774720774819705,1.5692480005604073,1.4477885917432232,1.5673584679273584
2020-02-28,1.4307284501988962,1.6347884677406364,1.4306334286201763,1.3115168563829909,1.422210927087652
2020-03-31,1.2308556857061104,1.4037233556429973,1.1866956061344585,1.1239547601479294,1.2472334943619763
2020-04-30,1.394928748610735,1.563462112162643,1.3487253437585587,1.2991965982932765,1.3758079229853393
2020-05-29,1.471091858284881,1.659621163363518,1.4073710529816919,1.362162662445582,1.4210322023818052
2020-06-30,1.5069864996270321,1.7127562645111198,1.4409266611234002,1.365794319590051,1.4483404906535757
2020-07-31,1.5931861274056982,1.8057435270274829,1.5155272542346843,1.444693341493158,1.5164853832523195
2020-08-31,1.7118784938974227,1.8838486201967615,1.5847234185485695,1.495931205397444,1.5889341015385607
2020-09-30,1.6493949288701668,1.8517829861241821,1.5325593215422197,1.4572630495761492,1.5491908906329293
2020-10-30,1.6147576353638933,1.8976401471472941,1.5266375431900747,1.454215191018879,1.5531090166543975
2020-11-30,1.8172482428385255,2.144046902879676,1.7280502835077833,1.6394367530909955,1.762590813179535
2020-12-31,1.9010233868333815,2.232709696577876,1.7796828674712122,1.704330024058279,1.8180457872052112
2021-01-29,1.8953203166728814,2.2031538777728312,1.7901191055723606,1.6700644154319164,1.8094524378301786
2021-02-26,1.9557810347747464,2.2752391415295397,1.8542885744242883,1.7599771089147729,1.8906978950131614
2021-03-31,2.0246245271988172,2.441222265717694,1.9947820329667976,1.8894485504518959,2.0392690126851556
2021-04-30,2.1284877654441163,2.569021096134231,2.036799884447393,1.9821659454676939,2.1224156871871367
2021-05-28,2.1431743310256803,2.611930921449073,2.1320415781490607,2.0457997061078492,2.1670624086262
2021-06-30,2.1926816580723734,2.585275490266215,2.1229010692685373,2.0191062637600465,2.149858059396882
2021-07-30,2.2196516424666637,2.6323753524966675,2.1354813205163765,2.0470943408227766,2.163232672342249
2021-08-31,2.282023853619977,2.7487243463791016,2.202962562598571,2.1047941958883465,2.2509306178160267
