,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.67,-10.40%,-24.13%,,
High transformation,0.94,-11.65%,-20.92%,0.43,0.010
High esg_refinitive,0.73,-11.46%,-25.07%,0.16,0.250
High preparation,0.66,-11.67%,-24.26%,0.03,0.840
Low advocacy,0.75,-12.14%,-22.14%,0.15,0.290
