,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-5.97%,6.93%,-18.87%,-18.87%,23.12%,50.39%,92.10%,92.10%
High transformation,-4.93%,11.22%,-8.20%,-8.20%,45.94%,85.83%,159.06%,159.06%
High esg_refinitive,-3.50%,17.06%,-7.28%,-7.28%,35.83%,51.87%,115.12%,115.12%
High preparation,-4.65%,10.95%,-10.68%,-10.68%,31.75%,50.59%,95.52%,95.52%
Low advocacy,-4.48%,12.24%,-8.61%,-8.61%,29.38%,62.44%,107.25%,107.25%
