date,High transformation,High esg_refinitive,High preparation,Low advocacy
2018-06-29,0.6507052130719452,0.4467640457139158,-0.17902580028979292,0.07283622675450166
2018-07-31,0.6976442781159559,0.35308616689235794,-0.14363918072758264,0.09226013536423278
2018-08-31,0.8020197637367583,0.40640951234357864,-0.18192004752226076,0.1485796555257648
2018-09-28,0.7781546572938994,0.4567715250623839,-0.21126967112927553,0.1541704629679705
2018-10-31,0.40259927709778476,0.12548264976755674,-0.3411318815605203,0.06948289348111159
2018-11-30,0.47842558311704536,-0.016476346290429045,-0.3336189767322827,0.04839970656165493
2018-12-31,0.5064271220885439,0.03739025703610832,-0.3366179670947388,0.024764361458750717
2019-01-31,0.5448366001403455,0.05073871894523285,-0.2727703768862737,0.1377670654572487
2019-02-28,0.5616968671107131,0.11849545320433008,-0.27546868638872457,0.18421935041137805
2019-03-29,0.4889374569382263,0.08783056563296976,-0.29815676254967816,0.14725167948397577
2019-04-30,0.34745787403144557,-0.06832383303271328,-0.31011864616940965,0.008220832842022907
2019-05-31,0.37232156233185476,-0.17053750277966917,-0.43088540314220825,0.06633999107208122
2019-06-28,0.5115251794225577,-0.13100665776317633,-0.38546514893677863,0.13937155105512367
2019-07-31,0.5582386721619843,-0.227361139369528,-0.37761239306127614,0.16722022889089705
2019-08-30,0.5678015432211456,-0.25512574268608834,-0.37668869189177634,0.15826791330498746
2019-09-30,0.5772542678144001,-0.14024335321837206,-0.31255381378662495,0.3808680685270922
2019-10-31,0.5326181720262493,-0.23092453935994284,-0.35006824984310214,0.3420301612677049
2019-11-29,0.46768247802760193,-0.21728544395811222,-0.3716977223975205,0.32733633363685166
2019-12-31,0.4263940232319027,-0.3544258264942246,-0.2582770506395137,0.36883490078156844
2020-01-31,0.4127660872341161,-0.35506645722996405,-0.2475708031646105,0.3730868824792716
2020-02-28,0.4269741373938404,-0.3273544451841289,-0.2950793575068287,0.3025349659971821
2020-03-31,0.2774312432739021,-0.3939876965801914,-0.5320920298559634,0.11166776424333413
2020-04-30,0.21753375830543265,-0.369000935779804,-0.3273632984074375,0.12730017905846225
2020-05-29,0.32864407636532533,-0.22474695480272677,-0.24309952765659903,0.22022905346885713
2020-06-30,0.3793951621773137,-0.18118354619817456,-0.2628426077790622,0.21234188761262862
2020-07-31,0.3417847041220865,-0.16179178864498378,-0.26244305567164494,0.19944818491051386
2020-08-31,0.43114222864418517,-0.09447433328756283,-0.19475908201211667,0.2462742432784979
2020-09-30,0.5092780464097437,-0.10665431575102158,-0.1002670460005134,0.29033078548231017
2020-10-30,0.8372747828037853,-0.0220210246775559,0.21821409954348314,0.5611323498868368
2020-11-30,0.6325731831248425,-0.09621307614517305,0.1598056868188587,0.5142318668363286
2020-12-31,0.8271178707137175,-0.1893581885404647,0.09845395088282145,0.6597281432066784
2021-01-29,0.5982050560004151,-0.17703029939585224,-0.054202804320781325,0.5314434566496288
2021-02-26,0.4358908785163191,-0.30341440939994185,0.0038020915628889096,0.384823508370129
2021-03-31,0.6960324201295418,-0.12578698669661478,0.10741151993419978,0.527384215961318
2021-04-30,0.774831333070825,-0.08044524889023258,0.1514000711241566,0.6016707723524386
2021-05-28,0.7812752087571093,0.19744869674066678,0.34697759041969756,0.5304123063227917
2021-06-30,0.6914410915722399,0.13058416699994427,0.2742842737179674,0.4779037123097103
2021-07-30,0.7045203501450499,0.11634567201831578,0.26807509949950425,0.41669624805969285
2021-08-31,0.709480334716952,0.12053033962976219,0.21754815156327376,0.47095752395428947
2021-09-30,0.5236304907671796,0.01852053734823597,0.1509814175763341,0.22546204670543799
2021-10-29,0.4982588875372751,0.12464129621368941,0.14775130315480617,0.19679836097706555
2021-11-30,0.4430243354773346,0.036124109406005855,0.11405006834788989,0.11907686806280793
2021-12-31,0.5316484803794972,0.0850667827061396,0.08750980129560265,0.09157443381227809
2022-01-31,0.4064792228737929,-0.08840659073457013,-0.03992818252263031,0.04153553468168092
2022-02-28,0.5005761248804235,-0.037052771251752326,0.09392498258667503,0.17926872858425824
2022-03-31,0.5419323876208568,-0.07357549642252315,-0.24326335466598537,-0.10565463868115021
2022-04-29,0.5727841398260922,-0.06534008589769946,-0.08459343820753878,-0.07335872634917007
2022-05-31,0.47253381904913083,-0.09658254584635495,-0.1456864633397152,-0.06543521690138132
2022-06-30,0.1517064356454314,-0.12210299846821313,-0.19276629210397211,-0.33526179356037417
2022-07-29,0.21494781518554895,-0.07807555245005637,-0.13102557964144296,-0.25486824276015463
2022-08-31,0.3285753841728456,0.015972116427044547,0.01070343750598779,-0.11887019205452609
2022-09-30,0.13472536039785413,-0.08227133898704914,-0.14271728518159887,-0.2774484206781922
2022-10-31,-0.06255553076753523,-0.11635029389252882,-0.22057167328852778,-0.36183752471365516
2022-11-30,-0.027601619553144385,0.0014532952481921824,-0.18561069074512612,-0.35737536708570705
2022-12-30,-0.004952184698510442,0.24558116479464226,-0.11398291881526534,-0.2376144267098083
