,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.88,-9.33%,-24.13%,,
High Innovation,0.83,-9.67%,-25.50%,0.14,0.300
High Adaptation-change,0.93,-10.58%,-23.69%,0.31,0.010
High Upskilling,0.78,-10.56%,-30.99%,0.17,0.180
Low Advocacy,0.84,-9.54%,-26.75%,0.18,0.140
