,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,199.36%,199.36%
High Innovation,-6.87%,-0.03%,18.92%,18.92%,29.54%,84.54%,194.20%,194.20%
High Adaptation-change,-7.12%,-1.49%,16.66%,16.66%,35.49%,118.39%,243.23%,243.23%
High Upskilling,-8.07%,-2.85%,15.98%,15.98%,37.14%,96.77%,207.33%,207.33%
Low Advocacy,-7.78%,-3.28%,14.70%,14.70%,31.88%,100.87%,206.28%,206.28%
