,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.86,-9.25%,-24.13%,,
High Innovation,0.86,-9.56%,-25.50%,0.18,0.090
High Adaptation-change,0.91,-11.18%,-22.57%,0.29,0.010
High Measurement,0.86,-10.23%,-24.74%,0.17,0.090
High Upskilling,0.90,-10.25%,-30.61%,0.33,0.010
High Advocacy,0.82,-10.46%,-28.54%,0.16,0.120
Low Advocacy,0.87,-9.45%,-26.75%,0.24,0.030
