,Low Advocacy,High Advocacy,Low Upskilling,High Upskilling,Low Measurement,High Measurement,Low Adaptation-change,High Adaptation-change,Low Innovation,High Innovation
alpha,0.24,0.16,0.11,0.33,0.16,0.17,0.26,0.29,0.38,0.18
beta_mkt,1.02,1.01,0.99,1.09,1.08,0.99,1.05,1.02,1.04,0.98
beta_smb,0.17,0.13,0.08,0.17,0.2,0.07,0.12,0.17,0.21,0.07
beta_hml,0.25,0.29,0.21,0.31,0.33,0.25,0.29,0.22,0.37,0.27
p-value(alpha),0.03,0.12,0.32,0.01,0.21,0.09,0.01,0.01,0.01,0.09
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.0,0.01,0.13,0.0,0.0,0.15,0.01,0.0,0.0,0.13
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.93,0.93,0.93,0.92,0.92,0.93,0.94,0.92,0.91,0.93
