date,High Innovation,High Adaptation-change,High Measurement,High Upskilling,High Advocacy,Low Advocacy
2015-06-30,0.03591636808449,0.10880384409161514,0.3251096199818,0.6370129887829901,0.36204590308364576,0.2926309234258265
2015-07-31,0.08013665650609697,0.11216861375944703,0.3647144480033446,0.6406138323271182,0.3643237670828908,0.3276236547536078
2015-08-31,0.1310211663674838,0.06400400025711805,0.36697677821778785,0.8098491606292064,0.32833092289836435,0.3584050637312334
2015-09-30,0.22859312160757106,0.04760425612301472,0.37794715769449805,0.7844301038150272,0.30716270806739054,0.2780742441024847
2015-10-30,0.20827406514188163,0.09583587579278863,0.3642878798420824,0.7499822570462706,0.27579208556325635,0.2797781478375906
2015-11-30,0.15615840364849887,0.14476576404221653,0.3852293131859772,0.7353228891093287,0.25658933865425343,0.3041842592048281
2015-12-31,0.1991980616044829,0.10877168276462418,0.321182543691526,0.6591329504234764,0.24780837677137046,0.18575175901088958
2016-01-29,0.2106060399362648,0.057123361105527404,0.33761346533629416,0.6980962404790905,0.269849779153669,0.2675378392732684
2016-02-29,0.2203072450132807,0.2163097595385053,0.41023604046840906,0.8184700142221056,0.31074734923265324,0.3295174534526033
2016-03-31,0.19756910245593606,0.26358914813431955,0.40967367202538096,0.828804763252363,0.26991482264324324,0.41351093831308633
2016-04-29,0.2049052169173578,0.19623127804609414,0.41675392372307624,0.8450874405735131,0.3883751468997818,0.37044576799116496
2016-05-31,0.20825797833051624,0.29077898859953033,0.407777950969417,0.8485744930929323,0.35363849579539264,0.4513359561840177
2016-06-30,0.32627380217375546,0.322986043778922,0.5273868943288752,0.8370011337963276,0.49676733091769115,0.43046413616961465
2016-07-29,0.38667405626878637,0.36046410522665817,0.5006383878173837,0.8406841875003966,0.5522258509199411,0.4389072605892598
2016-08-31,0.33795283916757346,0.28199043767570264,0.4152208691578201,0.8921560521437845,0.6535693177235002,0.4153075478635275
2016-09-30,0.2217618597552557,0.25165106182390984,0.4186083269636709,0.8927856734880668,0.6415727498857153,0.32905865397144085
2016-10-31,0.17367625979571016,0.2760867708574028,0.3449509699780361,0.9015162716542301,0.6634600677345031,0.2921116564960155
2016-11-30,0.13625568586086373,0.25526875309823294,0.28160862283475374,0.991738033775451,0.7610013105512123,0.2435084952553952
2016-12-30,0.08601279817249162,0.2702395147832263,0.26209342635299776,0.9454604876084809,0.7306616564719048,0.2650917430730043
2017-01-31,0.09567751266167032,0.22413974549347565,0.25401850009174926,0.9753474190375686,0.5674893639961918,0.18968715636275163
2017-02-28,0.16799976367492608,0.22493626454876098,0.28622024460101586,1.012153535626358,0.6428068321410833,0.253366222204004
