,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,108.31%,108.31%
High Innovation,-6.87%,-0.33%,18.50%,18.50%,29.51%,85.23%,100.34%,100.34%
High Adaptation-change,-7.27%,-1.83%,16.62%,16.62%,34.96%,114.62%,130.85%,130.85%
High Upskilling,-8.21%,-3.00%,16.54%,16.54%,35.86%,90.37%,110.75%,110.75%
High Advocacy,-7.33%,0.68%,17.63%,17.63%,27.95%,68.97%,77.37%,77.37%
Low Advocacy,-7.70%,-3.54%,14.61%,14.61%,30.07%,97.40%,116.40%,116.40%
