,Low Advocacy,High Advocacy,Low Upskilling,High Upskilling,Low Adaptation-change,High Adaptation-change,Low Innovation,High Innovation
alpha,0.21,-0.08,-0.16,0.13,0.1,0.31,0.31,0.09
beta_mkt,0.99,1.0,0.97,1.07,1.06,0.97,1.01,0.95
beta_smb,0.19,0.22,0.15,0.22,0.23,0.18,0.31,0.1
beta_hml,0.3,0.35,0.21,0.36,0.38,0.25,0.44,0.33
p-value(alpha),0.19,0.6,0.37,0.43,0.38,0.05,0.09,0.64
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.16
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.96,0.96,0.94,0.97,0.98,0.94,0.95,0.94
