,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.88,-9.33%,-24.13%,,
High Innovation,0.84,-10.38%,-23.33%,0.13,0.390
High Adaptation-change,0.92,-10.77%,-25.04%,0.28,0.020
High Upskilling,0.70,-10.64%,-29.73%,0.03,0.830
High Advocacy,0.74,-11.32%,-25.51%,0.03,0.820
Low Advocacy,0.80,-10.58%,-27.97%,0.13,0.400
