,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,199.36%,199.36%
High Innovation,-6.03%,0.04%,13.86%,13.86%,25.31%,83.18%,193.80%,193.80%
High Adaptation-change,-6.80%,-2.10%,16.93%,16.93%,35.67%,122.83%,246.00%,246.00%
High Upskilling,-8.68%,-5.83%,11.66%,11.66%,26.22%,86.44%,169.04%,169.04%
High Advocacy,-6.32%,-0.16%,15.97%,15.97%,28.23%,81.02%,162.77%,162.77%
Low Advocacy,-7.19%,-4.22%,13.02%,13.02%,27.84%,100.55%,196.43%,196.43%
