date,Market,High Innovation,High Adaptation-change,High Upskilling,High Advocacy,Low Advocacy
2016-07-29,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002
2016-08-31,1.0047009,1.0052620621136412,0.9965466650228808,1.0064083250095774,1.0098164293548915,0.9930618015107188
2016-09-30,1.00831782324,1.001440425642004,0.9993267391234385,1.0056782394438575,1.014609818667605,0.9930521415202241
2016-10-31,0.9878489714282281,0.9913045979071741,0.9899684081527289,0.9992018415296096,0.9972036241568846,0.9648616643353541
2016-11-30,1.0327960996282126,1.0577319073239637,1.0453756529771592,1.0537356810700218,1.0719411928635676,1.0196817135257283
2016-12-30,1.0513864294215205,1.0766689695368603,1.0690510098194097,1.082216776700448,1.0958429518804875,1.040898014316402
2017-01-31,1.0742015149399675,1.0977314144763948,1.0941964675076028,1.1189355831785976,1.110812621869315,1.088247351408888
2017-02-28,1.1094353246299984,1.1454655439085404,1.123184080356325,1.1463785958643438,1.154235173206459,1.11828950203546
2017-03-31,1.1120979694091104,1.1481382590350677,1.1331607262629955,1.1545691765515838,1.140602613871552,1.125416022978034
2017-04-28,1.1219956413368515,1.1597645334407538,1.139771692933834,1.1618395747412018,1.1440029125708724,1.1356143557215699
2017-05-31,1.1331033981860863,1.166765964604199,1.1514783638789101,1.1779808373237652,1.1639528295347306,1.1507607848409578
2017-06-30,1.14500098386704,1.1713969185149136,1.17146253412379,1.1932141813904118,1.1694454064374589,1.1545815106789707
2017-07-31,1.1683590039379277,1.2008651037848528,1.1787955203184648,1.1881061189302307,1.190404635959716,1.161485933460688
2017-08-31,1.1701115424438344,1.201384877632732,1.1778080842899161,1.1952613950560118,1.1873162237341268,1.1614043183358718
2017-09-29,1.2001834090846408,1.2313392646068404,1.2127263020216286,1.2428908295550598,1.215034358442963,1.199409673963145
2017-10-31,1.2250272056526927,1.25884044531092,1.2286596890614334,1.2811672866473585,1.2280072990863917,1.2173254229015391
2017-11-30,1.2612880109400122,1.3261225690771072,1.277309745687741,1.3329336501082185,1.2680912298011233,1.2707377859059203
2017-12-29,1.2773063686789503,1.331724127828955,1.291089826928812,1.325943592489583,1.2879054175280535,1.2667831769180642
2018-01-31,1.3455145287664063,1.4102835479044113,1.336256471187364,1.3673635125883856,1.3267192651474842,1.3029173523542787
2018-02-28,1.2938467708617762,1.3433434574047014,1.2983134385956887,1.3224971892372628,1.2640276531996866,1.2694260161145767
2018-03-29,1.2673229120591096,1.3210342753105968,1.3045437049698787,1.3110655586247577,1.2518506022907587,1.2769926339888564
2018-04-30,1.2735327943281993,1.3182319929752488,1.2896704653433673,1.284994582965533,1.2417028757225157,1.2394430048601914
2018-05-31,1.3072814133778965,1.3299398909236795,1.3032690334553845,1.3122685619073982,1.2513868510160493,1.2407657378957495
2018-06-29,1.3142100048687995,1.3335861612126767,1.3264539943076168,1.3114735566624631,1.2594949395021429,1.2615141411104887
2018-07-31,1.3571846720280092,1.408389725159119,1.3750234087132591,1.3484784380515178,1.289584065853559,1.298556133681947
2018-08-31,1.4012931738689194,1.4243370121011365,1.3835571155915962,1.3564584821754122,1.3077488152315098,1.3010702559422158
2018-09-28,1.404235889534044,1.4281326632404967,1.3836049569745008,1.3513729861028967,1.3032361154071506,1.3090211255711721
2018-10-31,1.29723311475155,1.3235486889738182,1.2739951211805127,1.2260323719140511,1.2097139238765544,1.1885740116957315
2018-11-30,1.320583310817078,1.3596356031664418,1.322668450554915,1.2414207139380573,1.2512528290463567,1.2537136826423199
2018-12-31,1.1973728879178447,1.227847878001534,1.2051934327889613,1.130073152750572,1.1094602709088999,1.1398092283863848
2019-01-31,1.302741702054615,1.3488669627993386,1.3109279950702573,1.2422151569135047,1.220739060129772,1.2517738318956195
2019-02-28,1.349249580817965,1.3980694065119352,1.3564517888588914,1.280810071667095,1.2468290008856409,1.296577135075066
2019-03-29,1.36463102603929,1.399144020608847,1.36808732115452,1.284593338383018,1.255006087587411,1.2887100462859986
2019-04-30,1.4207173612095048,1.4524078090838204,1.4020248342187052,1.3279848018627876,1.3294080558371753,1.3298298309338121
2019-05-31,1.3268079436335565,1.345278649237691,1.3061356650691682,1.1866142353175262,1.2210034598022685,1.2173201638926472
2019-06-28,1.4219400731920826,1.4609136116650532,1.4153130799356888,1.320056232200846,1.335156451684119,1.3286250664609853
2019-07-31,1.4398565181143028,1.4845375343821725,1.4544784477797776,1.3262670449503575,1.3582058467862488,1.3359657897863764
2019-08-30,1.406451846894051,1.457972802364816,1.4085969390098747,1.2660471039485222,1.3342271816628393,1.2844218837044779
2019-09-30,1.43036152829125,1.492358423712332,1.4659857489933856,1.3159608996649355,1.3775062961745506,1.332067488497681
2019-10-31,1.4586826865514169,1.5214363991454554,1.4790576008711114,1.3214186937800414,1.3840434680723628,1.3563266363464326
2019-11-29,1.5158630478642325,1.5559252147438163,1.503733249058825,1.3696876346407612,1.421869585712209,1.4032962869821672
2019-12-31,1.5602778351666546,1.6038933482901638,1.5527293822829698,1.4430233063648241,1.4515929056567547,1.478066193075235
2020-01-31,1.5570012517128047,1.5564531644183313,1.5142187027325524,1.3996860621411342,1.4346120998972065,1.4225374262833759
2020-02-28,1.4307284501988962,1.4188941231328835,1.3923692817116051,1.2594960749249269,1.2933461745874233,1.2921932538895422
2020-03-31,1.2308556857061104,1.2296932087660235,1.1639031020516626,1.0139605907778162,1.0812608645544712,1.0645982696157716
2020-04-30,1.394928748610735,1.389263442962732,1.3097783182589504,1.1568010236832815,1.2277652438689923,1.2081904612972547
2020-05-29,1.471091858284881,1.4487627806904975,1.3969161648244603,1.2385805517181998,1.3064332085366626,1.2802300495170378
2020-06-30,1.5069864996270321,1.4601126094779873,1.4177461317967617,1.2508873559117941,1.3137934781965888,1.307235758097047
2020-07-31,1.5931861274056982,1.5368596225041489,1.52116081486822,1.316605315796751,1.3716390150851303,1.3725232714548923
2020-08-31,1.7118784938974227,1.6060875358080688,1.592934511204505,1.3864539227712824,1.4551814186991325,1.45924935173951
2020-09-30,1.6493949288701668,1.5696278056734558,1.5609340219945664,1.3477533537531332,1.4282430122974195,1.4404538277184753
2020-10-30,1.6147576353638933,1.5796814088540916,1.5996450703511074,1.3453459372117889,1.4149097338635555,1.4556868090023756
2020-11-30,1.8172482428385255,1.781382012945406,1.8264444686303398,1.5543474602651635,1.595209223240941,1.6558389056747382
