,Low Advocacy,High Advocacy,Low Upskilling,High Upskilling,Low Adaptation-change,High Adaptation-change,Low Innovation,High Innovation
alpha,0.13,0.03,0.09,0.03,0.11,0.28,0.3,0.13
beta_mkt,1.03,1.0,0.97,1.08,1.05,1.01,0.99,0.97
beta_smb,0.15,0.1,0.08,0.2,0.15,0.15,0.24,0.02
beta_hml,0.27,0.31,0.22,0.32,0.34,0.24,0.38,0.29
p-value(alpha),0.4,0.82,0.49,0.83,0.29,0.02,0.06,0.39
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.01,0.03,0.17,0.0,0.0,0.0,0.0,0.74
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.93,0.95,0.94,0.94,0.96,0.94,0.93,0.92
