date,High transformation,High preparation,High advocacy,Low advocacy
2018-06-29,0.590128064066088,0.01659919023588463,0.637334144667145,0.4855032643932104
2018-07-31,0.6074003937884113,-0.0017715452705241441,0.5817753456515221,0.46734725443961816
2018-08-31,0.7016344928610047,0.009824186214682173,0.6609416852639836,0.5477855558549395
2018-09-28,0.6707667774311309,-0.051336365973532194,0.6776488422497109,0.5528746615301506
2018-10-31,0.27056360016519343,-0.24844799793792793,0.2986755421867956,0.2574970586928913
2018-11-30,0.33517015069934597,-0.15494360118363049,0.13697224555293397,0.3432252216759663
2018-12-31,0.3969235809767562,-0.038592367763310986,-0.014742324451975208,0.4361491001235054
2019-01-31,0.4478921246263303,-0.04159534379229357,-0.04535569692827757,0.49483089256862134
2019-02-28,0.4864497636613029,-0.0196809149664805,-0.05922804136252591,0.5345281296741095
2019-03-29,0.4104657172317364,-0.048951411296750624,-0.06387055279337095,0.5117334956884416
2019-04-30,0.32135486543287195,-0.09705639180385461,0.038832461535884266,0.4345358964701065
2019-05-31,0.33882359886659397,-0.14339534877919224,-0.09873639933720757,0.4507640534567766
2019-06-28,0.400373588264482,-0.0779262348734655,0.07659182457972702,0.41002211525673293
2019-07-31,0.4367251477422014,-0.1098087251917208,0.019441663089486916,0.36573259359175103
2019-08-30,0.4415033501648553,-0.13928149228780273,-0.009044773224336278,0.3229397791910218
2019-09-30,0.43190303862372104,-0.05000489027570021,0.17745507169664443,0.4685520482706505
2019-10-31,0.4029513991484699,-0.10741194293177136,0.12262627707732915,0.4179549369244859
2019-11-29,0.36298381276656844,-0.12145419724743445,0.11088185841037451,0.3769543191841795
2019-12-31,0.3139141002629492,-0.14094520696595325,0.13850105384111233,0.3238783292440009
2020-01-31,0.30347204557456786,-0.13202533169759934,0.14853391633495827,0.32199090373339834
2020-02-28,0.3852612393400656,-0.19915314153311958,0.004606219315676285,0.25943979971218034
2020-03-31,0.26014761917624274,-0.28997340993195,-0.13326630561530828,0.13370751698277372
2020-04-30,0.2400122831763798,-0.20962980682077448,-0.13674606083819407,0.17138834984864837
2020-05-29,0.3951305781071741,0.014001411247257733,-0.030335777495284155,0.25600503052868606
2020-06-30,0.4344754448545316,-0.05026018006657873,-0.15908604034435347,0.2694004703098123
2020-07-31,0.3993903776335772,-0.03124072695556479,-0.11293217841574066,0.2825189015430669
2020-08-31,0.4878837406590435,0.009319098861743091,-0.08936744367259775,0.35198949080044395
2020-09-30,0.5410218858882042,0.170570785783962,0.052288406176490554,0.41539464487186084
2020-10-30,0.6777096484696347,0.24839370446589049,0.0377383253887712,0.5680555576842556
2020-11-30,0.5899022414643861,0.24117558367089365,0.003920459737174697,0.4409878211633588
2020-12-31,0.7132993816837153,0.04764365438879359,-0.14821386656585678,0.42373053591244425
2021-01-29,0.494245665256347,-0.12691046949748286,-0.24779036109461308,0.24793434021073785
2021-02-26,0.585118580929048,-0.027225416475488096,-0.3104159374421312,0.21502955836159143
2021-03-31,0.7483325257013408,-0.044765765401538704,-0.34839277391488477,0.31008743723963067
2021-04-30,0.8213560611371723,0.045277210797703416,-0.37683788778006044,0.39026520221149985
2021-05-28,0.8178932415068816,0.03721474560190208,-0.33206273209306164,0.30983183871898545
2021-06-30,0.7761556315286025,0.005915357727254787,-0.42135229234886773,0.26657764744337387
2021-07-30,0.7595319022503375,-0.03260257334179711,-0.4762026407810235,0.20711127527084672
2021-08-31,0.7123118246124254,-0.05321895556933315,-0.5188242769219373,0.21833372865369388
2021-09-30,0.5674530404382653,-0.10296682940211921,-0.4995014580749979,0.05939512437421696
2021-10-29,0.540060003755054,-0.07213580291311861,-0.461532038312622,0.042947222713899225
2021-11-30,0.48149996595828537,-0.1174431109410129,-0.49845152144486005,-0.007687187743458446
2021-12-31,0.5663399996516076,-0.09934502034259218,-0.48122682478326284,0.009874137512896008
2022-01-31,0.40644199845001516,-0.1887407077927119,-0.45461904870509506,-0.08541021386927716
2022-02-28,0.3515023194483389,-0.07930256984702178,-0.22320622529869505,0.05472565438788268
2022-03-31,0.1601603729926736,-0.2645604413244904,-0.10720224572665049,-0.11124708589581722
2022-04-29,0.1989270021042726,-0.1049095769636158,-0.10095599294075486,-0.0864207476291814
2022-05-31,0.07363315749982557,-0.19333707826278607,-0.20415504400851525,-0.096392353111861
2022-06-30,0.01800357036321651,-0.1024155865391064,0.00023965595650432547,-0.26766913322325564
2022-07-29,0.05072134976248066,-0.05055745471912243,0.005553026850466658,-0.16122480655213695
2022-08-31,0.14816034816331236,0.004843801473348064,0.09016117977202986,-0.06334868024298135
2022-09-30,-0.016210949747293396,-0.16061090384398513,0.08383867797550834,-0.18950026747336418
2022-10-31,-0.1209076140683005,-0.21000096959195852,0.11696766624942506,-0.2529084985917017
2022-11-30,-0.10030062934133552,-0.22474080272619423,0.16632628597213042,-0.2296273290521999
2022-12-30,-0.07186399385861231,-0.12857618021212147,0.1445524183215937,-0.11132524012465456
2023-01-31,0.16685575937884323,0.14528923057516308,0.38742818021900405,0.0875067438877275
2023-02-28,0.15742005286309813,0.1171447927492636,0.3982367207538501,0.16320129631403624
2023-03-31,0.13331694317664766,0.1141753743365912,0.40188406179272274,0.1726704444352184
2023-04-28,0.07791690218932212,0.10063304969498421,0.3584983706999768,0.1396645938715826
2023-05-31,0.0732957169051639,-0.0291516481049946,0.2684593470929712,0.14716836901447972
2023-06-30,0.22907807534160457,0.14926879616213978,0.33831955560005633,0.28876327048456013
2023-07-31,0.12867599688941672,0.08822268496510188,0.2900751013894096,0.2322454627744452
2023-08-31,0.11047004372376629,0.09299457338596351,0.3504364472639365,0.23837968068538606
2023-09-29,0.22715836302736025,0.1633315051789509,0.424578925526178,0.3258682238256752
