date,High customers,High suppliers,High employees,High communities,Low communities
2018-06-29,0.26853558395000354,0.16458153923276786,-0.09825197982941175,0.5157181661760508,0.31501236840173025
2018-07-31,0.28529590020526624,0.16241056385984246,-0.1309465651875225,0.4468299896676675,0.26338591447305515
2018-08-31,0.3738989885254944,0.1681780732440415,-0.08334675929373381,0.46685858712521455,0.2974847001059302
2018-09-28,0.3256753544508789,0.10894643786256508,-0.1193981153205726,0.47043362878332656,0.28605007206963395
2018-10-31,0.2932272891263177,-0.27897017588737283,-0.2582858737873618,0.31695271000945746,-0.07485650025735746
2018-11-30,0.1674479057987534,-0.14736324559663028,-0.3057068113902307,0.2751927244594083,-0.22048937718908201
2018-12-31,0.10979005024467703,-0.12866194409136478,-0.21586002595965492,0.038354297778081414,-0.06830970183266583
2019-01-31,0.1303658195668902,-0.04858456811391454,-0.14495229238162044,0.02066770943232399,-0.0170258031133268
2019-02-28,0.1835973988920091,-0.0708448712466192,-0.16244503747485695,0.05061812623151796,-0.009023305468068843
2019-03-29,0.14956302688824974,-0.08361855157926557,-0.18723597449463014,0.044547654355941546,-0.04047266641230629
2019-04-30,0.06832348161907764,-0.15394547966932026,-0.22000771215547665,0.13424325134539394,-0.09108689647169776
2019-05-31,0.16062938965775075,-0.2773347240413402,-0.36570877062768425,0.087726744729275,-0.1787214137602151
2019-06-28,0.23493229556432776,-0.39249564605607024,-0.3341942095167303,0.2102649963742209,-0.17972749838249158
2019-07-31,0.245485082043376,-0.34166206196472093,-0.3168397496532074,0.1413554489481375,-0.1471941746260177
2019-08-30,0.22839947109159636,-0.39587101429148674,-0.29451625028589057,0.14443320912893604,-0.13088703748456998
2019-09-30,0.2852295537917127,-0.13590519214203156,-0.4030062001131009,0.41164992746679313,-0.19559667974415196
2019-10-31,0.26708678582718043,-0.1735322187177296,-0.4244899310206193,0.3961180569959315,-0.21427154998942455
2019-11-29,0.20058406018090436,-0.18103174300219238,-0.5165935519888447,0.36935965005205007,-0.333445846110522
2019-12-31,0.1561399882259915,-0.12601439414591098,-0.5198659184957217,0.34430174619428067,-0.37113941965415326
2020-01-31,0.14145985662739458,-0.12494332927330487,-0.5051572946301771,0.3499168224494911,-0.3681070939370105
2020-02-28,0.13792875516888253,-0.18886811461057595,-0.4786995164025518,0.23390762876534876,-0.34335374295782023
2020-03-31,0.08520540230556195,-0.38982754342024295,-0.5783343509047933,0.058472973266988415,-0.5049977556426761
2020-04-30,0.03136378354676661,-0.2761133709084349,-0.44570537176970115,0.19438328778252756,-0.5097856697165968
2020-05-29,0.1570036315179264,-0.1224229348726169,-0.22582316963426408,0.3282714141872711,-0.23292312147537175
2020-06-30,0.12068388185962364,-0.1173387194158404,-0.30034981701668206,0.31482731700964517,-0.28446674923565585
2020-07-31,0.065687547988037,-0.09336213885792688,-0.2739513979555538,0.3754442988052644,-0.2814957584606472
2020-08-31,0.10844071367272945,-0.06014606026596914,-0.23246361784308722,0.4055510928663063,-0.22273119666535934
2020-09-30,0.207553809296793,0.04838377105152536,-0.04619927513249211,0.5689063728636625,-0.06774787765609147
2020-10-30,0.254099587659598,-0.014630499399767793,0.09686352743827686,0.6932120338723711,0.2557351766171612
2020-11-30,0.21501832200375504,-0.28571829269983073,0.08542711243254619,0.5760724165961761,0.2630802472224202
2020-12-31,0.3210462804183735,-0.336530634372924,0.04490460051388616,0.6176720545649873,0.24557828532195144
2021-01-29,0.1922777558578469,-0.39120162553681687,-0.12674656015754063,0.4054891521356797,0.08541765416497568
2021-02-26,0.21930760952923578,-0.46824832517380965,-0.07492487460555142,0.2881484906308048,0.18071892256623678
2021-03-31,0.37402007338061477,-0.3595028352251135,-0.037950112277303605,0.30843429545702006,0.29710241257597503
2021-04-30,0.35443830532916326,-0.3646066484525934,-0.009359578868462615,0.2854387427055153,0.2971353505834033
2021-05-28,0.19492395351090885,-0.20199124520846207,0.2087660524750308,0.19649531648944385,0.4749089923768856
2021-06-30,0.12190324480771249,-0.19028063513310647,0.19158053290311636,0.12748691746206608,0.41635124778997523
2021-07-30,0.12651716298198878,-0.22822646223575332,0.19025775872095418,0.11078888103127857,0.37568126777764704
2021-08-31,0.16326759703013183,-0.16910407990492815,0.061406165688506764,0.06649869744517847,0.3147959685435828
2021-09-30,0.198680580670397,-0.36664163519278364,0.08069752704275446,-0.03771298152182323,0.29308645396332056
2021-10-29,0.14576057690125216,-0.39622146275393,0.12355826888961496,-0.017087438724869397,0.28974600385988486
2021-11-30,0.15380866529517867,-0.40503216668260544,0.09729860768155896,-0.06166398210070856,0.2840233480513388
2021-12-31,0.19275304799599663,-0.3731779995993516,0.13669714676233058,-0.041859341444625775,0.2829432258089205
2022-01-31,0.06109091763417618,-0.3436900343984385,0.07932720125163673,-0.04609227479246636,0.18607163053627962
2022-02-28,0.25792408156128677,-0.23981370518182143,0.16679995691511973,0.17334545920773636,0.4214094836492761
2022-03-31,0.18712301818917798,-0.16590723990886302,0.21823463844491597,0.056629078831547885,0.27258323981362265
2022-04-29,0.3630255222411213,-0.004925388905641259,0.2317695473486559,0.03629406192016499,0.3546047386327263
2022-05-31,0.2348344546779944,-0.12871412253247988,0.10657724951514264,-0.06465513200201245,0.2071959065795368
2022-06-30,0.14773623395314045,-0.31655128891103845,0.043869882760008805,-0.03802826798069012,0.041076654566613635
2022-07-29,0.1347192322584096,-0.21947488313616634,0.16752869351137678,-0.012933393554196093,0.1183084274586545
2022-08-31,0.22029203020753535,-0.16358859104331852,0.31662521392941656,0.07269064695101285,0.1833437753169735
2022-09-30,0.1788799518421037,-0.29273735017263225,0.23276197557943712,-0.0904812703072968,0.059816356077947
2022-10-31,0.15597598538404622,-0.24810885879916678,0.13756010768779736,-0.18514975264135064,-0.0019462184718004316
2022-11-30,0.1732611192814401,-0.19650231244035127,0.12923508643087325,-0.11637828334258646,0.02033623494640316
2022-12-30,0.15976289396489018,-0.11907777713227347,0.2368538569895391,-0.08604842311625938,0.10753546851530893
2023-01-31,0.4305051563428128,-0.12769639744597383,0.32699787656975343,0.2521021794156383,0.2914357233357189
2023-02-28,0.4345939833870862,-0.02942643643358378,0.3240445173531583,0.3335447392868648,0.3144345441115137
2023-03-31,0.37715606732289997,-0.036796909396520805,0.2841525887936762,0.32997708760247,0.2870536641387529
2023-04-28,0.31161604397050113,-0.0010837102699525758,0.2595014806610071,0.2895350857138136,0.2832823587587081
2023-05-31,0.2731925984745479,-0.08009353754070553,0.20340507426877308,0.289228853183775,0.2576060929645386
2023-06-30,0.3422604132468711,-0.0812504411509252,0.3401489681486474,0.4047961746712218,0.3917859342459747
2023-07-31,0.25886833793937847,-0.11458391642672894,0.2700135042788791,0.27280539311742175,0.29781376106245727
2023-08-31,0.19673628403029325,-0.1500691803952467,0.344761129712135,0.27406321164618175,0.3218580695319817
2023-09-29,0.28969908678749307,-0.04581006918771069,0.38940238527937876,0.2902663864267915,0.4203097080926269
2023-10-31,0.32488413152506695,-0.0008457795882702568,0.36853034533184525,0.2680926788589576,0.4560430462422698
2023-11-30,0.2936830927337186,-0.04588724589285975,0.4151893530408616,0.2377947584579223,0.4513384237227117
2023-12-29,0.14549075879939244,-0.06292850702799435,0.32172535015552595,0.17964250897107847,0.3745968329089213
2024-01-31,0.15815970548007052,-0.08120680446933443,0.3322666318030616,0.1496580592720913,0.3711775135784239
2024-02-29,0.1416297424500499,-0.05268025008934868,0.31974658031021297,-0.019667664904650106,0.2840460415402005
2024-03-28,0.14450298577255105,-0.05078972141449911,0.30434751976388097,0.05960693261617689,0.2988949266819285
2024-04-30,-0.04488276730652241,-0.13165764157020632,0.22848043844770488,0.0509767287683619,0.13478261382341394
2024-05-31,0.0232967939880121,-0.07913082363460427,0.1770346280827761,0.033276101506389655,0.1173481620596033
2024-06-28,0.01955713716523133,-0.10451088289456348,0.2230543639312837,0.03195171843420261,0.1159725201033972
2024-07-31,0.12413027874694704,-0.14103471800250295,0.3024636201577964,0.06629634458646255,0.15270946125122986
2024-08-30,0.13372341047787134,-0.1222685865572983,0.35228782875504355,0.025177375422628268,0.25186159542902076
2024-09-30,0.11609522450804655,-0.03374781276046113,0.36194458972706944,0.013628622216702468,0.22244065289506587
2024-10-31,0.15325313643287108,-0.06337778763791757,0.3514987550321741,-0.05604733478079582,0.21223799140611554
2024-11-29,0.16102803720915537,-0.08912196387786353,0.33069457093683596,-0.1423773665530944,0.22699982627504955
2024-12-31,0.025601947869115182,-0.16600589819302258,0.1401667531418883,-0.30829220710124294,0.11556641251221211
