date,Market,High Advocacy,High Upskilling,High Adaptation-change,High Innovation,Low Advocacy
2013-07-31,1.0,1.0,1.0,1.0,1.0,1.0
2013-08-30,0.9745,0.9679769002496916,0.9848598005102807,0.9760173873417455,0.9798026668491231,0.9968344825446788
2013-09-30,1.0601585500000001,1.0607576603785076,1.0659825090668984,1.0585758186680174,1.0680217006141561,1.0867321232462197
2013-10-31,1.0577201853350002,1.0517889142615073,1.0770955631857204,1.0703138830235475,1.0618966812473059,1.0938550601693282
2013-11-29,1.0691435633366182,1.1044705313336953,1.1604057427610264,1.1366011662551074,1.131657733307429,1.1591302136277055
2013-12-30,1.0776967118433112,1.1431022603462835,1.2068788251097065,1.1806222211325414,1.1667556432484978,1.195149405363125
2014-01-31,1.0490299793082791,1.0798916681541848,1.1605078346090163,1.1258070182565771,1.1012503696383558,1.1430246899600056
2014-02-28,1.0431554114241528,1.081623497431998,1.1561762929053936,1.1240805455524827,1.0890682889315348,1.1396648739907855
2014-03-31,1.0310548086516327,1.0675533045160785,1.1232378395304532,1.0994585471140743,1.083418428437156,1.0935019695808257
2014-04-30,1.0070312316100496,1.042401777151665,1.0786314770559986,1.071571589208354,1.0476349383877626,1.052731880790215
2014-05-30,1.0451977152880705,1.0795637584686475,1.121044470850991,1.0985825354667762,1.0744968393420058,1.095186262420198
2014-06-30,1.1054011036886635,1.1277189452736285,1.2037540756213818,1.1621255760122355,1.1470591916941013,1.165030951570048
2014-07-31,1.1139126921870663,1.15480622399669,1.2470755123211203,1.2068047377723943,1.1804877915105456,1.2106125837234838
2014-08-29,1.0917458296125437,1.1457170682228346,1.2274755660818453,1.2225751202569133,1.1852930728466695,1.2177437521077095
2014-09-30,1.0802824984016122,1.1800067735692878,1.294161986141819,1.2675940942345,1.2442617936013334,1.2791153343313095
2014-10-31,1.0572724811856578,1.193708673683025,1.2515584404329758,1.2549923067258084,1.233234805688794,1.2426659915591411
2014-11-28,1.056743844945065,1.269116748236376,1.3385157772819702,1.3414362992447415,1.3091622454980545,1.3261498774106104
2014-12-30,1.047761522263032,1.279947694825695,1.3513912105634303,1.3298156293280274,1.3193690250197991,1.3573184909361902
2015-01-30,1.077098844886397,1.3291616313190213,1.3687130051918368,1.3378084553958989,1.3627002761646128,1.3822985713079798
2015-02-27,1.1354776022792397,1.3809344400365917,1.4724602811638483,1.430461098287701,1.4542571164165927,1.4893601693878478
2015-03-31,1.1570516767225452,1.4550019235173524,1.4994041262346836,1.4458811067057278,1.5512235134709764,1.4885492768885193
2015-04-30,1.1974327802401619,1.4727655618974271,1.5418118733545965,1.4968658939813309,1.594068242117846,1.5368878693335655
2015-05-29,1.2080899319842993,1.5415383809937606,1.637564699997336,1.596036986275596,1.64174392068772,1.6378149554879202
2015-06-30,1.199874920446806,1.5318446985618752,1.5704598382366206,1.5280829101739595,1.5908258630776506,1.573220246207828
2015-07-31,1.2109137697149168,1.533819424331216,1.5210558845114577,1.5267349785498494,1.6023815786074704,1.558645604716981
2015-08-31,1.1467353399200262,1.3962356497802277,1.4149335543029848,1.4429472089333513,1.5112712263618509,1.4796792001879677
2015-09-30,1.0755230753109926,1.2951806142688729,1.3126603435367021,1.3176893458451702,1.3905215470507117,1.3765264522037495
2015-10-30,1.1751165120847904,1.4255256584109517,1.485671610367746,1.4749928972726778,1.5525274059972913,1.5319938681871577
2015-11-30,1.1732363256654548,1.453370168696706,1.5539147330250576,1.4884201360681364,1.590505646386955,1.594352344613132
2015-12-30,1.1782812418658162,1.4413803931857916,1.4890773099207082,1.4358105204934823,1.5667548337951216,1.536737627921098
2016-01-29,1.089085351856574,1.3407480007088481,1.3851589749048856,1.3170041561918775,1.4089652053709116,1.423288397536966
2016-02-29,1.0681749131009277,1.2183503354922134,1.2514349958264546,1.2011804174814371,1.3317066490585243,1.3095868625865696
2016-03-31,1.122438198686455,1.2892464841392035,1.3057657662182227,1.271748408750211,1.413010289465773,1.3814742810546747
2016-04-28,1.1802437659188072,1.2948617085769645,1.312342365912993,1.2735838049011665,1.448766215555669,1.3905014369068762
2016-05-31,1.1680872551298436,1.3312017557705285,1.3909545244193837,1.3247210038940755,1.490300591359298,1.438635008932028
2016-06-30,1.1394691173791622,1.2019417435259379,1.2172586350918515,1.163461023753866,1.3410318941009962,1.2557516391861898
2016-07-29,1.2162693358905177,1.2790025055640168,1.3285236629443373,1.2629019109554163,1.4186177540832199,1.3561726771199978
2016-08-31,1.2022822385277767,1.2843902444858066,1.3948140271168252,1.300708142118175,1.425704711019528,1.3711158174666653
2016-09-30,1.2346236307441738,1.3201369538661258,1.387600127759813,1.3201363930900798,1.447068234987739,1.3810632928900362
2016-10-31,1.2546245335622295,1.3858049478577517,1.489641944981485,1.4202124811691887,1.5265049040973517,1.4972150208094994
2016-11-30,1.2060705641133713,1.412601568263741,1.5784230438627855,1.4916451274014586,1.61285597626152,1.5692333524500204
