,Low Advocacy,High Advocacy,Low Upskilling,High Upskilling,Low Adaptation-change,High Adaptation-change,Low Innovation,High Innovation
alpha,0.44,0.31,0.39,0.46,0.37,0.37,0.27,0.47
beta_mkt,0.95,0.88,0.91,0.97,0.92,0.93,0.95,0.9
beta_smb,-0.04,0.08,0.0,-0.14,0.04,-0.11,-0.03,-0.05
beta_hml,0.31,0.26,0.3,0.34,0.25,0.29,0.36,0.29
p-value(alpha),0.11,0.22,0.15,0.1,0.14,0.16,0.32,0.05
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.74,0.58,0.98,0.31,0.75,0.4,0.8,0.7
p-value(beta_hml),0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0
Adj. R^2,0.56,0.56,0.55,0.57,0.59,0.56,0.57,0.59
