date,High Advocacy,High Upskilling,High Adaptation-change,High Innovation,Low Advocacy
2016-10-31,0.4828268067245471,0.7394817685916244,0.5804304365417973,0.707844096654173,0.6689545921442829
2016-11-30,0.5741716492089365,0.8354917262765481,0.6686153642539993,0.8962930130997936,0.7580913838033645
2016-12-30,0.666147065370408,0.863226881206776,0.7760686283203705,0.9348380912675012,0.7881727804690278
2017-01-31,0.6137898601512466,0.82388006172738,0.7261725636572595,0.8831188323420952,0.7455823555020927
2017-02-28,0.6682341510014959,0.8347575071596751,0.7395080615943403,0.9125036659026423,0.74891121032795
2017-03-31,0.563493614303116,0.7025614316940366,0.693810345971126,0.7806967648575132,0.6704405478321669
2017-04-28,0.4886360990208253,0.5661582599365469,0.5828483867135341,0.7015650339642252,0.5741341407861996
2017-05-31,0.5624899004400173,0.629321318864216,0.6154379666598883,0.7401514884884502,0.6288541743160109
2017-06-30,0.6186447551536107,0.7289172878194918,0.7079508914694923,0.8807163838855897,0.7221597580354653
2017-07-31,0.6052734700760586,0.7971721316115852,0.7510732663165507,0.8607456119311103,0.8067117172038125
2017-08-31,0.6428423582015809,0.8593425236921066,0.7828717647614553,0.9183435148595539,0.9078549786311387
2017-09-29,0.6864232145560556,0.8773118541966123,0.8246629816951218,0.994968055962679,0.9073625635143591
2017-10-31,0.6745599117495745,0.9340130260742602,0.8697248116185703,0.9991945020370013,0.9654702413765068
2017-11-30,0.6213901251106202,0.8248904893483648,0.8107861662070032,0.9433980401064662,0.8626896390238705
2017-12-29,0.641662057795235,0.8173645864414929,0.7447081701108536,0.9118904644394663,0.8313968483757547
2018-01-31,0.4756238445533416,0.5740556217861854,0.5602984720188984,0.6778077005553751,0.5870726020167609
2018-02-28,0.25665163435445065,0.6869164746819727,0.45361088728828514,0.6327699771058182,0.6245539517879529
2018-03-30,0.0697242746045273,0.38860436377972923,0.1897201026391916,0.4212233055359307,0.35453839378267715
2018-04-27,0.18522636521318203,0.3319958068529557,0.11704860968059828,0.4202237240858702,0.22151338846854948
