,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-2.80%,3.26%,25.02%,25.02%,26.84%,94.92%,236.50%,319.20%
High transformation,-6.17%,0.43%,15.18%,15.18%,30.95%,110.52%,341.01%,456.79%
High preparation,-7.05%,-2.61%,16.50%,16.50%,26.72%,86.11%,212.91%,295.49%
High advocacy,-6.85%,-0.38%,12.66%,12.66%,27.53%,80.85%,248.97%,351.57%
Low advocacy,-6.25%,0.17%,19.27%,19.27%,32.61%,96.66%,254.51%,340.03%
