,Low advocacy,High advocacy,Low preparation,High preparation,Low transformation,High transformation
alpha,0.1,0.13,0.08,0.02,0.18,0.28
beta_mkt,0.99,1.02,1.0,1.01,1.03,0.98
beta_smb,-0.01,0.07,0.08,0.04,0.09,0.06
beta_hml,0.24,0.32,0.23,0.23,0.3,0.21
p-value(alpha),0.38,0.32,0.55,0.91,0.12,0.02
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.9,0.17,0.17,0.41,0.06,0.18
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.92,0.91,0.89,0.91,0.92,0.91
