,Low advocacy,High advocacy,Low preparation,High preparation,Low transformation,High transformation
alpha,0.16,0.05,0.04,0.0,0.09,0.34
beta_mkt,0.99,1.06,1.01,1.02,1.04,0.99
beta_smb,0.09,0.28,0.2,0.15,0.25,0.16
beta_hml,0.29,0.33,0.26,0.31,0.3,0.24
p-value(alpha),0.19,0.68,0.82,1.0,0.49,0.01
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.12,0.0,0.0,0.01,0.0,0.01
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.95,0.96,0.93,0.95,0.96,0.94
