,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.83,-10.81%,-24.13%,,
High transformation,0.84,-11.59%,-21.86%,0.22,0.160
High preparation,0.67,-13.19%,-29.19%,-0.04,0.780
High advocacy,0.62,-14.39%,-32.67%,-0.07,0.650
Low advocacy,0.76,-12.66%,-25.31%,0.07,0.610
