date,High people,High planet,High prosperity,Low people
2016-10-31,0.6608732435632386,0.21641569173425892,0.11796783614685341,0.07613819436080621
2016-11-30,0.7032355290778065,0.17922266244553492,0.09560506046340134,0.055968376160085515
2016-12-30,0.5925453779680112,0.14826746424445825,0.03507520271564929,-0.01483792534555678
2017-01-31,0.640598359450648,0.1307452687374956,0.050646090316025155,-0.024914696381506507
2017-02-28,0.6102541638998578,0.1287334508961946,0.04453699230191324,-0.03918085302543789
2017-03-31,0.6214034247086252,0.1791239738415576,0.07726522703338035,0.01212859285976381
2017-04-28,0.6398048207680294,0.1897015452831188,0.053814640902919125,0.005989267767404632
2017-05-31,0.7457589405890991,0.2237019582732351,0.09588460259077136,0.021596435696884214
2017-06-30,0.6990982341876018,0.23378103298891656,0.04986081719774722,-0.0013711668501609348
2017-07-31,0.7041844555580363,0.18771996351080245,0.06784985145466296,0.005067832302625849
2017-08-31,0.6609273839770118,0.18005222464145487,0.09711382220500774,0.016648835445232102
2017-09-29,0.6233517816405163,0.17699732998098153,0.09798628971182083,0.015205629527878059
2017-10-31,0.5793348920074373,0.15468524863702826,0.11098685501375885,-0.00023049041574857432
2017-11-30,0.664236391872594,0.18034232770609349,0.12755185894506418,0.018574750586100402
2017-12-29,0.6574465538431644,0.18123381308386968,0.09486629283101285,0.006419297104966297
2018-01-31,0.6757319574591424,0.20369544559633151,0.07135214243340324,0.01556817047347947
2018-02-28,0.6265443516445929,0.19769065799261332,0.05918050173923703,0.04445895484558518
2018-03-29,0.6451859979256046,0.26698528790430887,0.03571711617153547,0.09039016862378786
2018-04-30,0.5974025233049871,0.2068502296287722,0.002408625885113508,0.027529864036911683
2018-05-31,0.5204679382874506,0.16721508223693632,-0.004619902896661948,-0.025897359297271022
2018-06-29,0.5064545927795933,0.15099238560289197,0.04208484321221326,-0.018184402030649055
2018-07-31,0.48083321345645547,0.15998839351133678,0.029662761904809515,-0.014861712874885968
2018-08-31,0.4479995562147644,0.1715344892932289,0.031244361812412608,-0.010157926912790716
2018-09-28,0.4192969573884496,0.17144520498717084,0.04933645372781312,0.01017685734663365
