,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,217.30%,290.30%
High people,-7.34%,-1.94%,11.96%,11.96%,23.92%,63.93%,194.02%,263.58%
High planet,-6.71%,0.34%,19.36%,19.36%,31.21%,101.74%,257.82%,356.41%
High prosperity,-7.62%,-1.03%,17.50%,17.50%,29.85%,85.91%,187.12%,250.56%
Low people,-6.61%,-1.18%,18.96%,18.96%,32.64%,93.14%,220.23%,306.49%
