date,High people,High planet,High prosperity,Low people
2016-10-31,0.6615436541268949,0.23595667791404853,0.15222472424646194,0.09325129275912517
2016-11-30,0.703562832487878,0.19404088064478944,0.11430052010028352,0.06867825709879621
2016-12-30,0.5838781939598253,0.1632946945426689,0.03471678432464528,-0.005965641820700085
2017-01-31,0.6340389532621822,0.15493198501515348,0.0640247387116398,-0.007916119942263877
2017-02-28,0.6026064500516202,0.16222859065141784,0.06713283965666048,-0.013907702516727127
2017-03-31,0.6168244068190052,0.2103967475249448,0.10767525514602322,0.03803786042665608
2017-04-28,0.6379802582620384,0.20207703388480452,0.06775037692983468,0.0151798651343443
2017-05-31,0.7439383368350752,0.18981650675234352,0.04227046182173648,-0.008361201361586773
2017-06-30,0.699100273781893,0.2266962706618288,0.04368141070981548,-0.0064320097905702645
2017-07-31,0.7044721455067267,0.19539466265368244,0.0869504523499408,0.014105104607192234
2017-08-31,0.6642266715505523,0.20182675070834222,0.161195947829868,0.0403187869445146
2017-09-29,0.6230350835321836,0.18798283862913454,0.13132385690763015,0.026738106909854786
2017-10-31,0.5803121143638417,0.15668687101358947,0.11981886913703602,0.003161142127091565
2017-11-30,0.6650323772297287,0.16764178536454885,0.1020391533988726,0.007859790545903661
2017-12-29,0.6523008694220997,0.16228561949570094,0.054450773842437114,-0.01071618471478912
2018-01-31,0.6684575593475891,0.18121205426477655,0.025308683009077237,-0.004275977503221701
2018-02-28,0.6388177433922189,0.19311084561181308,0.06031508266073554,0.041875395780877456
2018-03-29,0.6723994778650619,0.26770154405588786,0.05253780588345941,0.09378859408807377
2018-04-30,0.6220252055116213,0.20566323692646923,0.027992919494384164,0.028821767292463413
2018-05-31,0.5537328943221802,0.18193752270569868,0.05232905462477806,-0.010393392901742932
2018-06-29,0.5266716867361104,0.14681552377275223,0.05739556378085359,-0.020126489355300148
2018-07-31,0.49687534873321487,0.15632565824405778,0.0417718711004636,-0.016695876348176708
2018-08-31,0.4556662330344894,0.16062271131745998,0.013501346202584558,-0.019302648565684755
2018-09-28,0.4135223722987292,0.1534164019089994,0.013695079030488388,-0.0035710118603110574
2018-10-31,0.39129821792893416,0.04716411418664729,-0.09681519485512735,-0.037215816374863486
2018-11-30,0.3664491386455237,0.11686074924580991,-0.07826017847770633,0.017045618360152393
2018-12-31,0.34613641902018794,0.14747026509532174,-0.10141785627496092,0.12883194288185895
2019-01-31,0.3014684752748006,0.1974310414294964,-0.07829550756377923,0.16737564668059846
2019-02-28,0.28102753715289297,0.20506040075729282,-0.08098885462001038,0.1741552566504826
2019-03-29,0.25511348579415705,0.1939926086802386,-0.06939442028375686,0.19040036714658348
2019-04-30,0.22905020970311363,0.15845045376999678,-0.08270980376285686,0.15865714096519212
2019-05-31,0.18034870093583838,0.208788950712949,-0.2279138121535793,0.23059769658844587
2019-06-28,0.28128701880218043,0.23215809485652128,-0.29155877534530344,0.2295626774548638
2019-07-31,0.29506559704721624,0.20339805327202753,-0.2865404672478833,0.18929129267328904
2019-08-30,0.13172565826247695,0.22617419163425012,-0.285604166499548,0.2167685264511484
2019-09-30,0.04272496944859039,0.1702582696014156,-0.21690805323745865,0.1636843605459014
2019-10-31,-0.05870920749855424,0.09376348091021569,-0.32923818591741316,0.12103458913965781
2019-11-29,-0.04791621270392743,0.09367161024840975,-0.3228461626697914,0.10645679689472898
2019-12-31,-0.044370575445051186,0.11395649505343985,-0.2506690123641565,0.12590488980521608
2020-01-31,-0.08110744605543485,0.10648503830493761,-0.26700006801248805,0.09797356364773169
2020-02-28,-0.1922632999821574,0.10439356174593017,-0.20552864921411018,0.08776384749415644
2020-03-31,-0.28166452512820106,0.1602857724627731,-0.185341337354049,0.08077461195583169
2020-04-30,-0.22418982510730934,0.15334842844019114,-0.1383557102767965,0.1253153928504095
2020-05-29,-0.29594122287325264,0.1434211911269594,-0.15211439632368817,0.11439122939081225
2020-06-30,-0.34019637252636614,0.1370098612016709,-0.17634300486960386,0.12096772880228768
2020-07-31,-0.333494461205991,0.11443076639453664,-0.20903737764054242,0.09182848704435653
2020-08-31,-0.3190197925575543,0.12778904709139616,-0.18421325416853607,0.11772084989306886
2020-09-30,-0.3188250696442836,0.2399631354628129,-0.11897591061500878,0.23314278823404355
2020-10-30,-0.4087623438565574,0.3326527944005645,-0.03431440627155202,0.3525426063342927
2020-11-30,-0.2546018563405672,0.34083165478673916,-0.06873865056687178,0.3079065040973362
2020-12-31,-0.29874622248790494,0.3094681307610727,-0.05963360069028989,0.26939569929925844
2021-01-29,-0.20469413067149744,0.27685987048067384,-0.042330598813368536,0.2457957880211581
2021-02-26,-0.1909400759261694,0.38411398425723675,-0.2105178375364566,0.2685774441792381
2021-03-31,-0.2749738435306379,0.4900601354802067,-0.14826296822518437,0.3444799110736163
2021-04-30,-0.27263896781743413,0.45445690526946325,-0.13519714177677872,0.33754560331909206
2021-05-28,-0.21338043339095597,0.46197350194954256,-0.05321530907917266,0.29873121287863397
2021-06-30,-0.23874799638641903,0.42014538846401567,-0.08557866596359437,0.2611825013694965
2021-07-30,-0.3316056894269846,0.3484268148540455,-0.07746343424175633,0.23425954559724982
2021-08-31,-0.25484350941993655,0.4094513352167545,-0.028198983110076292,0.29335356122607886
2021-09-30,-0.3553759641198101,0.42871010005689214,0.08419254099885543,0.30911185807039077
2021-10-29,-0.37581452454302006,0.4029513492852939,0.049368250716222306,0.2830584090648612
2021-11-30,-0.36429197873773844,0.3423797977460535,0.037866971480419453,0.2190102965159729
2021-12-31,-0.35515182221387237,0.43188189299958907,0.06651094774840444,0.3057315781812522
2022-01-31,-0.41028395915838045,0.4577980299439408,0.052565822623635,0.31898557607493505
2022-02-28,-0.37351391487135915,0.5384043359766687,0.2502387837554482,0.38538735682399883
2022-03-31,-0.3570357948969601,0.46727834866342544,0.2448540210494997,0.3506405217113212
2022-04-29,-0.45630124586031107,0.5872492041885926,0.28469196747493647,0.40840184667897966
2022-05-31,-0.4453486220782337,0.4967259828334328,0.21781787154520033,0.3416031107647529
2022-06-30,-0.31452888274866014,0.36581629512014013,0.17672022596316272,0.2542422684177916
2022-07-29,-0.3702443766270428,0.36873680297325473,0.1878518865251563,0.2213249100144076
2022-08-31,-0.3527738326940713,0.3413926152887319,0.15291762473294138,0.23130816098506396
2022-09-30,-0.26349109364697465,0.22245225563350596,0.20724775783251473,0.1121256073191001
2022-10-31,-0.31474473587555324,0.151249005242944,0.13663195700221764,0.046723518117092466
2022-11-30,-0.35487113798797587,0.1729944359654822,0.1135111423700235,0.06711242155091626
2022-12-30,-0.3214358757702048,0.15247104117377175,0.06771509077819544,0.02595563479712651
2023-01-31,-0.3288804668368738,0.249948721887091,0.07579819814031015,0.13895346379939205
2023-02-28,-0.2847291922213754,0.2798245784082089,0.10244234430602157,0.1592048274540776
2023-03-31,-0.24066754487243402,0.27161810442591344,0.08847290202170707,0.13469476881784637
2023-04-28,-0.22794545391234897,0.2681598976698999,0.07358126367973046,0.1361398275805406
2023-05-31,-0.2775084321363849,0.1523279408543201,-0.048948538853562026,0.03871150754545588
2023-06-30,-0.23988566276973344,0.202064020923983,-0.021174085401194587,0.09175508898096674
2023-07-31,-0.2439923248692393,0.0022759763546719575,-0.07391173429923956,-0.05199033619276469
2023-08-31,-0.16262613326628916,-0.03820928617306807,-0.058684085562872204,-0.1041921884210137
2023-09-29,-0.127154226640933,-0.09289509830062145,-0.0665864531895638,-0.1491813123272528
2023-10-31,-0.06229226942899428,-0.1503953638152176,-0.025200316107247406,-0.18634898118466445
2023-11-30,-0.08660127770455553,-0.09788410584759066,0.049058670292596585,-0.10471150516918526
2023-12-29,-0.1027685382392724,-0.06410319063249051,0.04360742961732186,-0.06190232776476895
2024-01-31,-0.12601277902714686,-0.23670891098509322,-0.05204050824852584,-0.21330378141056555
2024-02-29,-0.05108204180023425,-0.2829641594627729,-0.029968200869299924,-0.22939875604244514
2024-03-28,-0.10874223634712064,-0.2024621459263789,-0.002601741748139569,-0.1639974744738748
2024-04-30,-0.05723657368476523,-0.10484632743062215,0.02105620618714571,-0.05316389331829369
2024-05-31,-0.05017215474113815,-0.00568494020412022,0.08986435984695354,0.04139661393175584
2024-06-28,-0.10141547768311188,-0.0526150418936992,0.18643436833775343,0.026702125483495404
2024-07-31,0.0016503098860174426,-0.0416837009849117,0.21104914635976646,0.02021876628706104
2024-08-30,-0.003963814233697072,-0.06904801928160154,0.23459914603764104,0.02156461792172798
2024-09-30,-0.08325981762011103,-0.030849138757417238,0.2293509182833077,0.05656811736555645
2024-10-31,-0.10224844468215061,0.07667060285612132,0.2563404088688132,0.12936076528699453
2024-11-29,-0.07274504284763239,0.07850582589987898,0.24415674779735935,0.1042809676565003
2024-12-31,-0.12867005533673437,-0.017322556044531368,0.1648904822223647,0.007919285384412555
