date,Market,High prosperity,High planet,Low people
2016-07-29,1.0002,1.0002,1.0002,1.0002
2016-08-31,1.0047009,0.9917841932549152,1.004841325753847,0.999205932518717
2016-09-30,1.00831782324,0.9938388378898793,1.0117765503555354,1.0061574309140384
2016-10-31,0.9878489714282281,0.9607235650252082,1.0122196901635596,0.9956647070000572
2016-11-30,1.0327960996282126,1.0200364964969804,1.0596717053708484,1.046620165347524
2016-12-30,1.0513864294215205,1.036507565751031,1.084120738664571,1.067398116234443
2017-01-31,1.0742015149399675,1.074886401959564,1.112309039476344,1.097181769560338
2017-02-28,1.1094353246299984,1.1095905823119767,1.1445214201454206,1.1375727520374521
2017-03-31,1.1120979694091104,1.1152492165753427,1.1476946552549985,1.1426724114332558
2017-04-28,1.1219956413368515,1.1235295065016255,1.1562686759833605,1.15124759907179
2017-05-31,1.1331033981860863,1.1382741820197626,1.1658361818503262,1.165167596264643
2017-06-30,1.14500098386704,1.1465180741950525,1.1813297461140415,1.1801720102944289
2017-07-31,1.1683590039379277,1.164310722780888,1.1962477940805516,1.2068576627021304
2017-08-31,1.1701115424438344,1.1634229264228149,1.2127633270536953,1.224626701059631
2017-09-29,1.2001834090846408,1.1964901318960568,1.233212810763305,1.2493726100385556
2017-10-31,1.2250272056526927,1.2183405935637022,1.2665684502324772,1.2819203514135684
2017-11-30,1.2612880109400122,1.2469476730487878,1.3157883430016142,1.3241999651934404
2017-12-29,1.2773063686789503,1.246565406838595,1.334319755449068,1.340480905309126
2018-01-31,1.3455145287664063,1.2969558877294904,1.394167760789548,1.4027431274128799
2018-02-28,1.2938467708617762,1.2442955485435563,1.359962600198513,1.3618356382636032
2018-03-29,1.2673229120591096,1.2116388977883508,1.3460002189199158,1.3411522620724097
2018-04-30,1.2735327943281993,1.2042941485956256,1.3378241433367066,1.3259693861234196
2018-05-31,1.3072814133778965,1.2139522007205201,1.3451178632445946,1.333401668908273
2018-06-29,1.3142100048687995,1.220532582456959,1.349197650073653,1.3398024393646788
2018-07-31,1.3571846720280092,1.269926812455064,1.4031502231039477,1.3982955022998118
2018-08-31,1.4012931738689194,1.2837918122937035,1.4079615041984574,1.3876070100471498
2018-09-28,1.404235889534044,1.2822616918578382,1.3965866164429228,1.3905306787238383
2018-10-31,1.29723311475155,1.1705050052086892,1.2851529704427769,1.285929284439265
2018-11-30,1.320583310817078,1.1877629734372954,1.3594025240256653,1.3447013107587207
2018-12-31,1.1973728879178447,1.0647093482346468,1.234977529997536,1.2314560319733854
2019-01-31,1.302741702054615,1.1832380613453295,1.358112436265156,1.3491220550466876
2019-02-28,1.349249580817965,1.22841937946039,1.4187037326705938,1.409329076196048
2019-03-29,1.36463102603929,1.2349080864199353,1.4305606539353986,1.427836399295997
2019-04-30,1.4207173612095048,1.3032599017742617,1.4957586754179655,1.4860446278087764
2019-05-31,1.3268079436335565,1.1965202851370365,1.3992661986195247,1.394919775422154
2019-06-28,1.4219400731920826,1.306405600030489,1.5129897463116884,1.5159003162867373
2019-07-31,1.4398565181143028,1.331522054014668,1.5314661250010309,1.5434735601181409
2019-08-30,1.406451846894051,1.2892245448361852,1.5108369884171822,1.5187408630349717
2019-09-30,1.43036152829125,1.351236956658499,1.549685971237038,1.563061402915677
2019-10-31,1.4586826865514169,1.3511546183924514,1.5468265618385444,1.5619231730581213
2019-11-29,1.5158630478642325,1.402740072374321,1.6045992302856151,1.6191464578494181
2019-12-31,1.5602778351666546,1.451444078797852,1.6403522174739857,1.653620922356657
2020-01-31,1.5570012517128047,1.4144516544019776,1.6258223452290201,1.6195027835374358
2020-02-28,1.4307284501988962,1.2771300642808958,1.4981834159006797,1.493013709470112
2020-03-31,1.2308556857061104,0.9892401448015435,1.288686552625625,1.2607567522697658
2020-04-30,1.394928748610735,1.1378604465290583,1.429059681449151,1.405625057018405
2020-05-29,1.471091858284881,1.2063202397272565,1.5040157347842351,1.4825385004281435
2020-06-30,1.5069864996270321,1.2140768552904946,1.5388272878545748,1.5177325629048137
2020-07-31,1.5931861274056982,1.2576095506752154,1.5922440877020125,1.5694372960574292
2020-08-31,1.7118784938974227,1.3200770676677567,1.6600212817913327,1.6343651770409957
2020-09-30,1.6493949288701668,1.2882023675027388,1.638976106416845,1.6207985703603236
2020-10-30,1.6147576353638933,1.2884242173650398,1.651866509373664,1.633649328358735
2020-11-30,1.8172482428385255,1.4717231144766485,1.845171219134403,1.8186221507618796
