date,High prosperity,High planet,Low people
2018-06-29,-0.38018095863310336,0.5031212916923915,0.28834073153760054
2018-07-31,-0.3584679943023832,0.5092821052865661,0.30535865496208914
2018-08-31,-0.27249841364100214,0.5526587110953887,0.38808279374321586
2018-09-28,-0.28308021561162405,0.4235005059936519,0.31800300174039264
2018-10-31,-0.2969684572559038,-0.005416974129333618,0.06438400125209143
2018-11-30,-0.39183134685491505,0.14171414784424752,0.12325732458254057
2018-12-31,-0.40325532778758166,0.12123242425994962,0.165895876903004
2019-01-31,-0.3551831652292208,0.17860392363617694,0.21770967167407274
2019-02-28,-0.344246061516708,0.21550350342806102,0.25183552744797744
2019-03-29,-0.36929330230047297,0.20628801227600735,0.23762887004780586
2019-04-30,-0.326029012133206,0.20273788265760906,0.2053206608979914
2019-05-31,-0.3449414606321358,0.21238649784415986,0.21787213767827218
2019-06-28,-0.25439094255072947,0.24327734321763583,0.2650283157307992
2019-07-31,-0.19194187415661246,0.2855786374460162,0.2883855771710044
2019-08-30,-0.19903163716418493,0.2739401534749031,0.26767884161084154
2019-09-30,-0.003896354787550793,0.36448069241777775,0.32157323187844106
2019-10-31,-0.07694962623840762,0.262197619137557,0.23125257216299566
2019-11-29,-0.042931961889754344,0.23243338069146413,0.22524011532623367
2019-12-31,-0.005481148724814311,0.16017122545212126,0.15841991248148113
2020-01-31,-0.004990504355432468,0.158575764037725,0.1670953646454596
2020-02-28,-0.02002694540843941,0.12443090460784467,0.1504558284898171
2020-03-31,0.06425458368825177,-0.037951959047117345,0.08158564872510521
2020-04-30,0.18805095897330282,-0.002421431142658914,0.19815452041628734
2020-05-29,0.3406367583880976,0.11156561614479932,0.3318898756283648
2020-06-30,0.26260823160901237,0.1453231689745127,0.36586741347549556
2020-07-31,0.27291994042267853,0.1471206973192547,0.3559013729958671
2020-08-31,0.309886819145228,0.22593247840510777,0.4502055928013984
2020-09-30,0.4229952155179928,0.38964811932630783,0.5893195613397151
2020-10-30,0.42847506814375286,0.6489215037022792,0.7250198796227314
2020-11-30,0.31547247633131514,0.34589317915949114,0.4453850540010183
2020-12-31,0.2658474915680358,0.42428673308895554,0.44414205760955117
2021-01-29,0.13765686078490644,0.19739895127592855,0.23729714235934599
2021-02-26,-0.07410763155608835,0.261904923185578,0.20102616660406053
2021-03-31,-0.0898628564889522,0.44115186813432583,0.3621431018693515
2021-04-30,-0.13028915499384952,0.4330610051369103,0.3790341315855585
2021-05-28,-0.06942567266148758,0.39933262801862746,0.29430196939785525
2021-06-30,-0.13227889616500213,0.309153384447786,0.18742914663519808
2021-07-30,-0.13648606232372562,0.2920207616427418,0.16481814685666596
2021-08-31,-0.17889651326075642,0.27046235751039444,0.15744627154674506
2021-09-30,-0.13522877160207375,0.1397418949407978,0.0251169082322395
2021-10-29,-0.10415657506063591,0.15109942003854893,0.03441481907862309
2021-11-30,-0.1037562449957995,0.033537441603868956,-0.04858447983281422
2021-12-31,-0.028771857218779506,0.09078457572109999,0.007207998134996063
2022-01-31,-0.10674359256890542,-0.05831197899024332,-0.08261911755109153
2022-02-28,0.03610945531729981,-0.17164630686084736,-0.12408889288259406
2022-03-31,0.34252462940778833,-0.30957621837215565,-0.0609141957974918
2022-04-29,0.39445373049091553,-0.26510043070122086,-0.07362505139742648
2022-05-31,0.26298386245018696,-0.38042751656200363,-0.20969007695080955
2022-06-30,0.07194728858490945,-0.5116022546258084,-0.33045579690918575
2022-07-29,0.1853780656014472,-0.40541219936370604,-0.24350190831163818
2022-08-31,0.21850333943293188,-0.3253650270498206,-0.17490965756378168
2022-09-30,0.14335533709614556,-0.5631160065893294,-0.48922470920386407
2022-10-31,0.12265379557490369,-0.6941937187160419,-0.6138381457093444
2022-11-30,0.11432314266289237,-0.572355587185364,-0.5112734734888063
2022-12-30,0.1163841355227282,-0.45417111468241556,-0.38427255768424506
2023-01-31,0.25214163166613024,-0.2096145389819637,-0.05138311464391865
2023-02-28,0.296022783992119,-0.14800827913585946,0.016136224094236207
2023-03-31,0.2962159512976097,-0.16196460603036666,0.003930339579967801
2023-04-28,0.2664827007356546,-0.199715438164616,-0.03132452891500759
2023-05-31,0.20829826607308743,-0.2071235648727865,-0.0056056577315208855
2023-06-30,0.29359737197513813,0.012058144515418368,0.267682945552301
2023-07-31,0.21746136764203317,-0.07035840290196377,0.16128494201337562
2023-08-31,0.24525091185082543,-0.0986101288882677,0.13155336177293553
2023-09-29,0.24793910174527534,-0.031984215534281435,0.19229763177907122
2023-10-31,0.2952025805479994,0.024307982876042522,0.2543530188406071
2023-11-30,0.30073802723480236,0.04073384154622184,0.2517855518240707
2023-12-29,0.20129391411457076,0.04900440385458049,0.23908724019056704
2024-01-31,0.20752625744516173,0.01011839001404391,0.1914181870611067
2024-02-29,0.10882993398476093,0.1594635117049753,0.2980039289374974
2024-03-28,0.1021376886874289,0.21386510291918587,0.32634135234842365
2024-04-30,0.0003881052248617678,0.19149177644985632,0.28399387262662024
2024-05-31,0.013010708564316964,0.1868804988853754,0.29724615667478227
2024-06-28,0.09742426435536636,0.168039606378388,0.2493295741500423
2024-07-31,0.1141289240636087,0.2390015163462405,0.2962165544172567
2024-08-30,0.17336964850938175,0.25043373803511426,0.3157997668329593
2024-09-30,0.12385208764997824,0.34381700724797304,0.4020469404106219
2024-10-31,0.21106448377351472,0.43044646856531815,0.420014644137286
2024-11-29,0.2580262812210503,0.33288444611495605,0.3342022589333574
2024-12-31,0.10208314387351203,0.09790802941725385,0.09735699526210007
