,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.88,-9.33%,-24.13%,,
High prosperity,0.70,-11.63%,-31.84%,0.04,0.760
High planet,0.83,-9.84%,-22.84%,0.11,0.450
Low people,0.85,-10.27%,-23.76%,0.13,0.320
