,Low people,High people,Low planet,High planet,Low prosperity,High prosperity
alpha,0.13,0.08,0.02,0.11,0.12,0.04
beta_mkt,0.97,1.08,1.08,0.95,1.05,1.07
beta_smb,0.08,0.2,0.19,0.07,0.17,0.2
beta_hml,0.22,0.38,0.35,0.22,0.27,0.37
p-value(alpha),0.32,0.58,0.89,0.45,0.4,0.76
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.17,0.0,0.0,0.29,0.01,0.0
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.92,0.95,0.95,0.92,0.94,0.96
