,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,199.36%,199.36%
High prosperity,-8.62%,0.57%,18.24%,18.24%,29.36%,82.35%,164.67%,164.67%
High planet,-7.33%,-0.28%,19.96%,19.96%,25.29%,74.85%,186.82%,186.82%
Low people,-6.67%,-0.38%,20.87%,20.87%,30.85%,79.41%,196.67%,196.67%
