,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.82,-9.30%,-24.13%,,
High transformation,0.95,-9.98%,-21.87%,0.37,0.000
High preparation,0.73,-10.65%,-27.82%,0.05,0.690
High advocacy,0.78,-10.59%,-30.95%,0.20,0.090
Low advocacy,0.83,-10.88%,-23.97%,0.18,0.100
