,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.83,-10.81%,-24.13%,,
High transformation,0.92,-11.67%,-21.22%,0.31,0.100
High preparation,0.76,-12.20%,-25.00%,0.06,0.730
High advocacy,0.66,-14.30%,-31.13%,-0.01,0.940
Low advocacy,0.85,-11.91%,-22.00%,0.14,0.420
