,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,108.31%,108.31%
High transformation,-6.68%,-0.19%,14.73%,14.73%,31.46%,110.80%,136.43%,136.43%
High preparation,-6.95%,-2.32%,16.82%,16.82%,26.80%,85.83%,103.90%,103.90%
High advocacy,-6.77%,-0.16%,11.67%,11.67%,26.46%,80.27%,88.94%,88.94%
Low advocacy,-6.25%,0.17%,19.27%,19.27%,32.10%,95.95%,117.41%,117.41%
