,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,87.92%,87.92%,87.92%
High transformation,-6.68%,-0.19%,14.94%,14.94%,31.71%,111.66%,111.66%,111.66%
High preparation,-6.95%,-2.32%,17.02%,17.02%,26.76%,98.31%,98.31%,98.31%
High advocacy,-6.77%,-0.16%,11.74%,11.74%,25.12%,102.32%,102.32%,102.32%
Low advocacy,-6.09%,0.46%,19.82%,19.82%,31.96%,105.46%,105.46%,105.46%
