,Low advocacy,High advocacy,Low preparation,High preparation,Low transformation,High transformation
alpha,0.05,0.08,-0.05,0.02,0.19,0.16
beta_mkt,1.04,1.04,0.99,1.03,1.05,1.04
beta_smb,0.09,0.27,0.27,0.15,0.26,0.18
beta_hml,0.33,0.36,0.29,0.33,0.35,0.29
p-value(alpha),0.79,0.62,0.82,0.92,0.22,0.45
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.15,0.0,0.0,0.05,0.0,0.01
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.95,0.96,0.92,0.94,0.96,0.93
