,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.92,-9.10%,-24.13%,,
High transformation,1.00,-10.29%,-17.59%,0.16,0.450
High preparation,0.93,-10.23%,-20.16%,0.02,0.920
High advocacy,0.93,-8.66%,-15.03%,0.08,0.620
Low advocacy,0.98,-10.48%,-18.84%,0.05,0.790
