,Low advocacy,High advocacy,Low preparation,High preparation,Low transformation,High transformation
alpha,0.18,0.11,0.09,-0.0,0.16,0.37
beta_mkt,0.99,1.06,1.01,1.03,1.04,0.99
beta_smb,0.09,0.24,0.17,0.12,0.22,0.13
beta_hml,0.27,0.31,0.25,0.27,0.29,0.22
p-value(alpha),0.11,0.39,0.53,0.98,0.19,0.0
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.12,0.0,0.01,0.03,0.0,0.02
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.95,0.95,0.92,0.94,0.95,0.93
